id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,instrumentalness,popularity
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,0.05,0.82
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,0.85,0.55
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,0.10,0.60
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,0.90,0.48
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,0.04,0.88
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,0.95,0.30
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,0.75,0.52
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,0.70,0.58
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,0.88,0.50
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,0.08,0.70
11,Concrete Anthem,Kilo Verse,hip-hop,energetic,0.78,95,0.62,0.85,0.12,0.03,0.75
12,Winter Elegy,Aria Solenne,classical,melancholy,0.30,66,0.25,0.20,0.95,0.97,0.35
13,Voltage Peak,Pulsewave,edm,euphoric,0.95,128,0.88,0.92,0.03,0.60,0.80
14,Island Time,Sun Groove,reggae,laid-back,0.55,92,0.75,0.74,0.40,0.15,0.58
15,Iron Verdict,Blacksteel Rise,metal,aggressive,0.98,168,0.30,0.45,0.02,0.12,0.45
16,Velvet Hours,Mara Sky,r&b,romantic,0.48,84,0.68,0.66,0.35,0.06,0.66
17,Dust Road Home,Cedar & Pine,country,nostalgic,0.52,104,0.58,0.55,0.62,0.10,0.60
18,Paper Boats,Wander Hollow,folk,dreamy,0.38,88,0.54,0.42,0.88,0.20,0.42
